"id";"year";"branching_group";"Age";"AREA";"PV";"cash_flow";"BA";"V";"Harvested_V_log";"Harvested_V_pulp";"V_total_deadwood";"DEVEL_CLASS";"SC";"SOIL_CLASS";"THIN";"PEAT";"H_dom";"D_gm";"MAIN_SP";"CAPERCAILLIE";"HAZEL_GROUSE";"THREE_TOED_WOODPECKER";"LESSER_SPOTTED_WOODPECKER";"LONG_TAILED_TIT";"SIBERIAN_FLYING_SQUIRREL";"AGE_vol";"AGE_ba";"V_pine";"V_spruce";"V_Birch_1";"V_Birch_2";"V_populus";"V_Alnus_incana";"V_Alnus_glutinosa";"V_o_coniferous";"V_o_decidious";"quality";"name";"regime"
"300006";2016;NA;114.5;0.0399999991059303;12184.3828125;0;28.0269565582275;264.35205078125;0;0;7.88130617141724;6;3;1;0;0;23.1758441925049;26.5991725921631;2;0;0;0.00999999977648258;0.0299999993294477;0;0;0.0428281985223293;107.433881511108;126.780288696289;134.152130126953;3.27636528015137;NA;NA;0.143247827887535;NA;NA;NA;"even-aged";"RCP85_p_SA_1501-1800_n4";"SA"
"300006";2021;NA;105.569999694824;0.0399999991059303;12348.3505859375;0;28.6358852386475;271.955841064453;0;0;15.8453912734985;6;3;1;0;0;23.2816982269287;26.7963390350342;1;0;0;0.0199999995529652;0.0299999993294477;0;0;0.043054822832346;112.36477624281;132.356704711914;136.195037841797;3.29364204406738;NA;NA;0.110438972711563;NA;NA;NA;"even-aged";"RCP85_p_SA_1501-1800_n4";"SA"
"300006";2026;NA;110.569999694824;0.0399999991059303;12456.9638671875;0;29.0372104644775;277.002960205078;0;0;23.5830459594727;6;3;1;0;0;23.3535671234131;26.9355525970459;1;0;0;0.0199999995529652;0.0299999993294477;0;0;0.0479232408106327;117.31597516819;136.16178894043;137.450378417969;3.30865240097046;NA;NA;0.0821129456162453;NA;NA;NA;"even-aged";"RCP85_p_SA_1501-1800_n4";"SA"
"300006";2031;NA;115.569999694824;0.0399999991059303;12545.158203125;0;29.3439693450928;280.854827880859;0;0;31.0908164978027;6;3;1;0;0;23.4241638183594;27.0776844024658;1;0;0;0.0199999995529652;0.0299999993294477;0;0;0.0515518747270107;122.291433189186;138.752471923828;138.722732543945;3.32081866264343;NA;NA;0.0587710291147232;NA;NA;NA;"even-aged";"RCP85_p_SA_1501-1800_n4";"SA"
"300006";2036;NA;120.569999694824;0.0399999991059303;12618.328125;0;29.5838871002197;283.863128662109;0;0;37.9722175598145;6;3;1;0;0;23.493236541748;27.2216682434082;1;0;0;0.0199999995529652;0.0299999993294477;0;0;0.0542529858648777;127.283439934329;140.490829467773;140.002883911133;3.32895421981812;NA;NA;0.040471650660038;NA;NA;NA;"even-aged";"RCP85_p_SA_1501-1800_n4";"SA"
"300006";2041;NA;125.569999694824;0.0399999991059303;12697.291015625;0;29.8414859771729;287.030822753906;0;0;45.33154296875;6;3;1;0;0;23.5619812011719;27.3731727600098;1;0;0;0.0299999993294477;0.0299999993294477;0;0;0.0632616057991982;132.275145439002;142.32438659668;141.34651184082;3.33300828933716;NA;NA;0.0269112773239613;NA;NA;NA;"even-aged";"RCP85_p_SA_1501-1800_n4";"SA"
"300006";2046;NA;130.570007324219;0.0399999991059303;12779.9619140625;0;30.1083374023438;290.27978515625;0;0;52.2734298706055;6;3;1;0;0;23.6299095153809;27.5297069549561;1;0;0;0.0399999991059303;0.0299999993294477;0;0;0.0691196992993355;137.267228280578;144.216033935547;142.727905273438;3.31843423843384;NA;NA;0.0173807218670845;NA;NA;NA;"even-aged";"RCP85_p_SA_1501-1800_n4";"SA"
"300006";2051;NA;135.570007324219;0.0399999991059303;12864.79296875;0;30.3802623748779;293.565795898438;0;0;57.728874206543;6;3;1;0;0;23.6966285705566;27.6890964508057;1;0;0;0.0399999991059303;0.0399999991059303;0;0;0.0749499127268791;142.259475636827;146.135757446289;144.123397827148;3.2956428527832;NA;NA;0.0109825348481536;NA;NA;NA;"even-aged";"RCP85_p_SA_1501-1800_n4";"SA"
"300006";2056;NA;140.570007324219;0.0399999991059303;12953.9833984375;0;30.6639556884766;296.955993652344;0;0;62.4938621520996;6;3;1;0;0;23.7627735137939;27.8544502258301;1;0;0;0.0299999993294477;0.0399999991059303;0;0;0.0696143209934235;147.251799785849;148.123886108398;145.562377929688;3.26287841796875;NA;NA;0.00683668302372098;NA;NA;NA;"even-aged";"RCP85_p_SA_1501-1800_n4";"SA"
"300006";2061;NA;145.570007324219;0.0399999991059303;13045.9931640625;0;30.954174041748;300.399627685547;0;0;66.2411727905273;6;3;1;0;0;23.8280048370361;28.0239448547363;1;0;0;0.0399999991059303;0.0399999991059303;0;0;0.0727262124419212;152.244315577767;150.154968261719;147.022689819336;3.21777248382568;NA;NA;0.00421431101858616;NA;NA;NA;"even-aged";"RCP85_p_SA_1501-1800_n4";"SA"
"300006";2066;NA;150.570007324219;0.0399999991059303;13144.5205078125;0;31.2620868682861;304.007385253906;0;0;69.4188385009766;6;3;1;0;0;23.8932914733887;28.202880859375;1;0;0;0.0399999991059303;0.0399999991059303;0;0;0.0754249915480614;157.236985712268;152.291564941406;148.555191040039;3.15805506706238;NA;NA;0.00258218124508858;NA;NA;NA;"even-aged";"RCP85_p_SA_1501-1800_n4";"SA"
